TRC | 2018-12-31 : 0.01 : 16.58 | 2018-09-30 : 0.13 : 21.71 | 2018-06-30 : -0.04 : 24.3 | 2018-03-31 : 0.06 : 23.11 | 2017-12-31 : 0.02 : 20.76 | 2017-09-30 : -0.0011 : 21.1
JRVR | 2018-12-31 : 0.39 : 36.2653 | 2018-09-30 : 0.64 : 41.961 | 2018-06-30 : 0.56 : 38.4046 | 2018-03-31 : 0.52 : 34.4092 | 2017-12-31 : 0.01 : 38.4798 | 2017-09-30 : 0.34 : 39.5981
NSTG | 2018-09-30 : -0.56 : 17.83 | 2018-06-30 : -0.8 : 13.68 | 2018-03-31 : -0.75 : 7.51 | 2017-12-31 : -0.34 : 7.47 | 2017-09-30 : -0.45 : 16.16 | 2017-06-30 : -0.2 : 16.54
VNOM | 2018-12-31 : 0.16 : 25.6603 | 2018-09-30 : 0.05 : 40.7925 | 2018-06-30 : 1.35 : 30.4325 | 2018-03-31 : 0.38 : 23.8358 | 2017-12-31 : 0.38 : 21.4559 | 2017-09-30 : 0.24 : 16.851
PGR | 2018-12-31 : 0.44 : 57.9965 | 2018-09-30 : 1.57 : 68.2923 | 2018-06-30 : 1.19 : 56.8621 | 2018-03-31 : 1.22 : 58.5733 | 2017-12-31 : 0.99 : 53.0161 | 2017-09-30 : 0.38 : 45.5795
IBKC | 2018-12-31 : 2.32 : 63.8927 | 2018-09-30 : 1.73 : 80.3416 | 2018-06-30 : 1.3 : 74.5051 | 2018-03-31 : 1.1 : 76.2929 | 2017-12-31 : 0.14 : 75.4328 | 2017-09-30 : 0.49 : 79.5797
TSLA | 2018-12-31 : 0.84 : 332.8 | 2018-09-30 : 1.75 : 264.77 | 2018-06-30 : -4.22 : 342.95 | 2018-03-31 : -4.19 : 266.13 | 2017-12-31 : -4.03 : 311.35 | 2017-09-30 : -3.7 : 341.1
OII | 2018-12-31 : -0.66 : 12.1 | 2018-09-30 : -0.67 : 27.6 | 2018-06-30 : -0.34 : 25.46 | 2018-03-31 : -0.5 : 18.54 | 2017-12-31 : 1.75 : 21.14 | 2017-09-30 : -0.02 : 26.27
WRI | 2018-12-31 : 0.47 : 24.4567 | 2018-09-30 : 0.34 : 27.4094 | 2018-06-30 : 0.61 : 28.0117 | 2018-03-31 : 1.13 : 25.195 | 2017-12-31 : 1.3 : 29.0767 | 2017-09-30 : 0.56 : 27.1073
MSM | 2018-11-30 : 1.33 : 87.2184 | 2018-08-31 : 1.29 : 83.5578 | 2018-05-31 : 1.39 : 89.1432 | 2018-02-28 : 2.06 : 84.3664 | 2017-11-30 : 1.05 : 86.3347 | 2017-08-31 : 1.07 : 65.6293
OSB | 2018-12-31 : -0.32 : 26.2751 | 2018-09-30 : 1.49 : 32.2508 | 2018-06-30 : 2.0 : 36.7906 | 2018-03-31 : 1.09 : 32.1551 | 2017-12-31 : 1.85 : 29.4141 | 2017-09-30 : 1.5 : 32.587
BBL | 2003-12-31 : 42.72 : 0.0 | 2003-09-30 : 0.2759 : 0.0 | 2003-06-30 : 0.0612 : 0.0 | 2003-03-31 : 0.1426 : 0.0 | 2002-12-31 : 0.1165 : 0.0 | 2002-09-30 : 0.1776 : 0.0
WRLD | 2018-12-31 : 0.67 : 102.26 | 2018-09-30 : 1.56 : 114.36 | 2018-06-30 : -2.37 : 111.01 | 2018-03-31 : 3.23 : 105.3 | 2017-12-31 : 0.19 : 80.72 | 2017-09-30 : 1.1 : 82.89
AKAM | 2018-12-31 : 0.56 : 61.08 | 2018-09-30 : 0.64 : 73.15 | 2018-06-30 : 0.25 : 73.23 | 2018-03-31 : 0.31 : 70.98 | 2017-12-31 : 0.16 : 65.04 | 2017-09-30 : 0.37 : 48.72
ECL | 2018-12-31 : 1.35 : 146.9614 | 2018-09-30 : 1.48 : 155.9009 | 2018-06-30 : 1.2 : 139.1791 | 2018-03-31 : 0.84 : 135.5656 | 2017-12-31 : 1.92 : 132.3133 | 2017-09-30 : 1.34 : 126.4361
BEN | 2018-12-31 : 0.54 : 29.425 | 2018-09-30 : 0.94 : 29.9007 | 2018-06-30 : 0.75 : 31.2822 | 2018-03-31 : 0.78 : 33.6067 | 2017-12-31 : -1.06 : 38.4034 | 2017-09-30 : 0.76 : 39.2423
EE | 2018-12-31 : -0.38 : 49.8251 | 2018-09-30 : 1.79 : 56.484 | 2018-06-30 : 0.82 : 58.0153 | 2018-03-31 : -0.17 : 49.741 | 2017-12-31 : 0.16 : 53.6137 | 2017-09-30 : 1.47 : 53.2117
BANC | 2018-12-31 : 0.13 : 13.1924 | 2018-09-30 : 0.07 : 18.5632 | 2018-06-30 : 0.18 : 19.0733 | 2018-03-31 : 0.06 : 18.7055 | 2017-12-31 : 0.12 : 19.8917 | 2017-09-30 : 0.23 : 19.864
LLY | 2018-12-31 : 1.1 : 115.0962 | 2018-09-30 : 1.12 : 106.1973 | 2018-06-30 : -0.25 : 83.9815 | 2018-03-31 : 1.16 : 75.6263 | 2017-12-31 : -1.57 : 81.9472 | 2017-09-30 : 0.53 : 82.4742
PM | 2018-12-31 : 1.23 : 65.9252 | 2018-09-30 : 1.44 : 79.2993 | 2018-06-30 : 1.41 : 77.4244 | 2018-03-31 : 1.0 : 93.9889 | 2017-12-31 : 0.45 : 98.8326 | 2017-09-30 : 1.27 : 102.8191
ARCO | 2018-09-30 : 0.12 : 6.1553 | 2018-06-30 : 0.0075 : 6.8447 | 2018-03-31 : 0.0024 : 9.0114 | 2017-12-31 : 0.33 : 10.1353 | 2017-09-30 : 0.11 : 9.8415 | 2017-06-30 : -0.02 : 7.2955
RUSHA | 2018-12-31 : 1.18 : 34.3841 | 2018-09-30 : 1.03 : 39.0757 | 2018-06-30 : 0.72 : 43.0036 | 2018-03-31 : 0.51 : 42.1213 | 2017-12-31 : 2.58 : 50.3691 | 2017-09-30 : 0.72 : 45.8883
CYD | 2018-12-31 : 0.6782 : 12.44 | 2018-09-30 : 0.4629 : 17.27 | 2018-06-30 : 0.5071 : 21.7 | 2018-03-31 : 0.932 : 19.1516 | 2017-12-31 : 1.533 : 21.7118 | 2017-09-30 : 0.5805 : 20.1377
NTRS | 2018-12-31 : 1.8 : 83.0448 | 2018-09-30 : 1.58 : 100.8276 | 2018-06-30 : 1.68 : 101.0476 | 2018-03-31 : 1.58 : 100.8849 | 2017-12-31 : 1.51 : 97.334 | 2017-09-30 : 1.2 : 89.1947
