SONO.out,NaN,2
SNAP.out,NaN,8
SMPL.out,NaN,7
SMG.out,NaN,50
SMAR.out,NaN,3
SLRC.out,NaN,40
SIX.out,NaN,50
SIRI.out,NaN,50
SIGA.out,NaN,50
SHOP.out,NaN,15
SHO.out,NaN,50
SHLX.out,NaN,17
SHI.out,NaN,50
SHAK.out,NaN,16
SGU.out,NaN,50
SGRY.out,NaN,11
SG.out,NaN,4
SGMO.out,NaN,50
SGEN.out,NaN,50
SFLY.out,NaN,50
SERV.out,NaN,20
SE.out,NaN,6
SEM.out,NaN,42
SEDG.out,NaN,16
SEAS.out,NaN,23
SDRL.out,NaN,2
SCWX.out,NaN,11
SCHL.out,NaN,50
SBAC.out,NaN,50
SATS.out,NaN,49
SA.out,NaN,50
SANM.out,NaN,50
SAGE.out,NaN,18
SABR.out,NaN,19
RYTM.out,NaN,4
RVNC.out,NaN,22
RVI.out,NaN,5
RUN.out,NaN,14
RUBY.out,NaN,2
RTRX.out,NaN,35
RP.out,NaN,38
RPD.out,NaN,14
RPAI.out,NaN,32
ROKU.out,NaN,6
ROIC.out,NaN,47
RNG.out,NaN,22
RMBS.out,NaN,50
RLJ.out,NaN,31
RLGY.out,NaN,26
RH.out,NaN,43
RGNX.out,NaN,14
RGEN.out,NaN,50
RFP.out,NaN,50
REV.out,NaN,50
REVG.out,NaN,8
RESI.out,NaN,24
REGN.out,NaN,50
REGI.out,NaN,37
REDU.out,NaN,4
RDWR.out,NaN,50
RDUS.out,NaN,30
RDNT.out,NaN,50
RDIB.out,NaN,50
RDFN.out,NaN,6
RCUS.out,NaN,4
RCKT.out,NaN,15
RARX.out,NaN,8
RARE.out,NaN,20
RAD.out,NaN,50
QURE.out,NaN,22
QUOT.out,NaN,23
QUAD.out,NaN,39
QTWO.out,NaN,23
QTRX.out,NaN,4
QTNT.out,NaN,22
QSR.out,NaN,17
PVTL.out,NaN,3
PVG.out,NaN,32
PUMP.out,NaN,8
PTLA.out,NaN,23
PTCT.out,NaN,23
PSTG.out,NaN,14
PS.out,NaN,4
PSDO.out,NaN,8
PSA.out,NaN,50
PRTY.out,NaN,15
PRTA.out,NaN,28
PRMW.out,NaN,38
PRI.out,NaN,41
PRIM.out,NaN,50
PRAH.out,NaN,18
PQG.out,NaN,6
PPDF.out,NaN,4
PPC.out,NaN,50
PODD.out,NaN,50
PLYA.out,NaN,13
PLOW.out,NaN,40
PLAY.out,NaN,17
PLAN.out,NaN,2
PINC.out,NaN,22
PGRE.out,NaN,16
PFPT.out,NaN,27
PETQ.out,NaN,5
PEGA.out,NaN,50
PEB.out,NaN,36
PDVW.out,NaN,19
PDLI.out,NaN,50
PDD.out,NaN,3
PCRX.out,NaN,36
PBYI.out,NaN,42
PBF.out,NaN,25
PAYC.out,NaN,19
PANW.out,NaN,28
PAM.out,NaN,49
PACQ.out,NaN,4
PACB.out,NaN,38
OZM.out,NaN,44
OSTK.out,NaN,50
OSIS.out,NaN,50
OSIR.out,NaN,50
ORGO.out,NaN,9
ORBC.out,NaN,50
OPRA.out,NaN,4
OPK.out,NaN,50
ONE.out,NaN,3
ONCE.out,NaN,17
OMER.out,NaN,42
OLED.out,NaN,50
OKTA.out,NaN,7
OFIX.out,NaN,50
OEC.out,NaN,19
OBSV.out,NaN,8
OAS.out,NaN,35
OAK.out,NaN,31
NYMT.out,NaN,50
NXST.out,NaN,50
NXRT.out,NaN,19
NXPI.out,NaN,40
NWS.out,NaN,23
NWSA.out,NaN,23
NWN.out,NaN,50
NVTA.out,NaN,16
NVRO.out,NaN,17
NVMI.out,NaN,50
NVCR.out,NaN,14
NVAX.out,NaN,50
NUVA.out,NaN,50
NUAN.out,NaN,50
NTRA.out,NaN,14
NTNX.out,NaN,10
NTLA.out,NaN,11
NSTG.out,NaN,26
NR.out,NaN,50
NRE.out,NaN,13
NP.out,NaN,50
NPO.out,NaN,50
NOW.out,NaN,28
NOMD.out,NaN,15
NNI.out,NaN,50
NMRK.out,NaN,5
NMIH.out,NaN,27
NMFC.out,NaN,29
NKTR.out,NaN,50
NICE.out,NaN,50
NGL.out,NaN,34
NEWR.out,NaN,17
NEW.out,NaN,4
NEWM.out,NaN,23
NEP.out,NaN,20
NCLH.out,NaN,24
NBIX.out,NaN,50
NANO.out,NaN,50
MYOV.out,NaN,9
MYOK.out,NaN,13
MYGN.out,NaN,50
MXL.out,NaN,41
MUFG.out,NaN,50
MTZ.out,NaN,50
MTSI.out,NaN,31
MTOR.out,NaN,50
MTN.out,NaN,50
MSG.out,NaN,14
MSGN.out,NaN,39
MRCY.out,NaN,50
MRC.out,NaN,31
MPWR.out,NaN,50
MPLX.out,NaN,25
M.out,NaN,50
MOS.out,NaN,50
MOMO.out,NaN,16
MODN.out,NaN,28
MOBL.out,NaN,20
MNTA.out,NaN,50
MNK.out,NaN,23
